"rawPC_stages";"rawC3t_stages";"rawGF_stages";"raw2f3_stages";"crPC_stages";"crC3t_stages";"crGF_stages";"cr2f3_stages";"sqsPC_stages";"sqsC3t_stages";"sqsGF_stages";"sqs2f3_stages"
"ext. rates with durations";0.0264227551827638;0.132806932747915;0.0126893102395838;0.0211433225457991;0.434536536538923;0.166324328392819;0.0827730851579058;0.101086797810091;0.205910329494649;0.134270447051404;0.021608266127978;0.0244663512257043
"norm. ext. rates with durations";6.56473269052296e-06;0.00076461847116982;0.002204562086736;0.0261307597872861;1.1979905439987e-11;7.68096941181647e-08;6.75186317643587e-09;2.95337601499189e-07;4.21950758257701e-08;3.62814496897984e-07;1.33171372549432e-05;0.000469299379879757
"orig. rates with durations";0.000877889904252108;0.0693281228092092;0.00328682754910423;0.00212219365968343;0.10682969860023;0.140314078216195;0.182898036148679;0.279895838170464;0.0243776174664754;0.0827744169966445;0.0242836044155613;0.0383420454329
"norm. orig. rates with  durations";1.38886986050381e-07;3.15370623004191e-07;7.37468753037549e-05;0.00208459592002811;1.29555883024035e-12;3.99692341443574e-09;4.23962902329633e-09;1.3454398353069e-07;1.59899757878534e-09;4.7646081426693e-07;2.74144706436372e-05;6.26497996994553e-05
"extinctions";5.90389411335441e-07;0.000319518046020856;0.000287308340001626;0.000859053905412983;4.38264184422548e-09;5.50958015809455e-05;1.01988534140068e-05;1.10939903938316e-05;4.70831605870164e-09;0.000215150752245731;0.000210863408501297;0.000509357893803979
"post-Ordovician extinctions";0.064775062348444;0.302284242908385;0.259917104114074;0.207340787579178;0.0245026046314459;0.334864682361528;0.350170969794638;0.266097731706582;0.0154611000086026;0.435544039858962;0.440688058413579;0.395134810333752
"originations";3.11168251067135e-05;0.00071713801537447;0.00079151397740384;0.00262743086210227;6.14857679135389e-09;0.000276772219074796;9.88772173420289e-05;8.95469250872768e-05;4.55314841266278e-07;0.00116825816145878;0.000717657747315136;0.000805396458817696
"post-Ordovician originations";0.675279041308155;0.666771500324455;0.716092797311735;0.936589415099483;0.0404055558638445;0.603423901617864;0.490380613260262;0.398316660688566;0.218368531160447;0.886555066198148;0.892930617173364;0.660255717951186
"end-Permian ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Triassic ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Cretaceous ME";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"end-Permian is highest";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"number of mass extinctions";0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002;0.002
"extinctions log-normal (p-values)";0.628411770667861;0.114718072217272;0.0155101460738428;0.00125519378993494;0.104112815741032;0.0275071742108272;0.000266960198102485;0.102435715816421;0.793786460855371;0.101791134000769;0.0101253118332718;0.000304084365348342
"originations log-normal (p-values)";0.502446144295147;0.0288074066836417;3.34211136725514e-05;0.276429836712548;0.937070389176201;0.862141470262843;0.000976277841237624;0.000940665550181664;0.426792074241293;0.560742758527897;2.96666060718892e-05;0.0786854204399433
"origination and lagged diversity";0.000640784690074886;0.00988491891414952;0.0464673668880882;0.0685378373690113;0.00299828218343751;0.115326851036089;0.227226048681704;0.687200945779727;2.40176276951672e-06;0.0048982255063447;0.00434119080716077;0.0201710948926373
"diversity and lagged extinction";1.68657025982048e-08;0.000340786439170059;0.000380694842246232;0.00229571648684078;7.06592125270951e-05;0.315397683813872;0.0680896818547317;0.276688929213851;4.21917617336116e-09;0.0378717436920908;0.000897540306276059;0.00817962531465088
"extinction and lagged origination";0.884803357882917;0.269369180551933;0.16153703336708;0.769766640701707;0.171214440167353;0.000271076766600314;3.13458498290543e-05;0.000178764425195792;0.866198427801429;0.143341200276654;0.284939062767537;0.431334233749425
