"rawPC_stages";"rawC3t_stages";"rawGF_stages";"raw2f3_stages";"crPC_stages";"crC3t_stages";"crGF_stages";"cr2f3_stages";"sqsPC_stages";"sqsC3t_stages";"sqsGF_stages";"sqs2f3_stages"
"ext. rates with durations";"0.23";"0.15";"0.22";"0.28";"0.08";"0.14";"0.16";"0.22";"0.13";"0.15";"0.21";"0.27"
"norm. ext. rates with durations";"-0.45";"-0.35";"-0.34";"-0.17";"-0.64";"-0.53";"-0.58";"-0.42";"-0.54";"-0.51";"-0.46";"-0.28"
"orig. rates with durations";"0.35";"0.19";"0.32";"0.33";"0.18";"0.16";"0.16";"0.13";"0.24";"0.18";"0.24";"0.23"
"norm. orig. rates with  durations";"-0.52";"-0.51";"-0.4";"-0.31";"-0.66";"-0.58";"-0.55";"-0.51";"-0.59";"-0.5";"-0.41";"-0.39"
"extinctions";"0.52";"0.39";"0.39";"0.36";"0.59";"0.43";"0.46";"0.46";"0.59";"0.4";"0.39";"0.37"
"post-Ordovician extinctions";"0.23";"0.14";"0.14";"0.16";"0.27";"0.11";"0.11";"0.13";"0.29";"0.1";"0.09";"0.11"
"originations";"0.44";"0.36";"0.39";"0.35";"0.58";"0.39";"0.43";"0.43";"0.52";"0.36";"0.39";"0.38"
"post-Ordovician originations";"0.06";"0.05";"0.05";"0.03";"0.24";"0.06";"0.08";"0.1";"0.15";"0.02";"0.03";"0.06"
"end-Permian ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Triassic ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Cretaceous ME";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"end-Permian is highest";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes";"yes"
"number of mass extinctions";"4";"3";"5";"4";"3";"3";"3";"4";"3";"3";"6";"3"
"extinctions log-normal (p-values)";"0.665";"0.171";"0.012";"0.003";"0.095";"0.144";"<0.001";"0.089";"0.84";"0.056";"0.001";"0.003"
"originations log-normal (p-values)";"0.538";"0.047";"<0.001";"0.357";"0.946";"0.702";"0.001";"<0.001";"0.547";"0.382";"0.001";"0.019"
"origination and lagged diversity";"0.39";"0.3";"0.21";"0.2";"0.34";"0.17";"0.14";"0.05";"0.52";"0.34";"0.34";"0.28"
"diversity and lagged extinction";"0.6";"0.41";"0.39";"0.34";"0.45";"0.12";"0.2";"0.13";"0.61";"0.23";"0.37";"0.3"
"diversity and lagged origination";"0.01";"0.14";"0.17";"-0.02";"0.14";"0.46";"0.46";"0.38";"0.01";"0.16";"0.13";"-0.09"
